DE24369        |~BADKEY~                                                
DE32051        |~BADKEY~                                                
DE53639        |~BADKEY~                                                
DE76275        |~BADKEY~                                                
DE81247        |~BADKEY~                                                
DE13357        |~BADKEY~                                                
DE13509        |~BADKEY~                                                
DE21568        |~BADKEY~                                                
DE28201        |~BADKEY~                                                
DE46562        |~BADKEY~                                                
DE76185        |~BADKEY~                                                
DE90267SB12    |~BADKEY~                                                
DE90455        |~BADKEY~                                                
DE16816        |~BADKEY~                                                
DE23558        |~BADKEY~                                                
DE29525        |~BADKEY~                                                
DE30175        |~BADKEY~                                                
DE44309        |~BADKEY~                                                
DE45883        |~BADKEY~                                                
DE47167        |~BADKEY~                                                
DE47918        |~BADKEY~                                                
DE51377        |~BADKEY~                                                
DE56072        |~BADKEY~                                                
DE81669        |~BADKEY~                                                
DE90408        |~BADKEY~                                                
DE99092        |~BADKEY~                                                
DE10319        |~BADKEY~                                                
DE14129        |~BADKEY~                                                
DE26127        |~BADKEY~                                                
DE30179        |~BADKEY~                                                
DE31785        |~BADKEY~                                                
DE45239        |~BADKEY~                                                
DE45881        |~BADKEY~                                                
DE47166        |~BADKEY~                                                
DE51061        |~BADKEY~                                                
DE61231        |~BADKEY~                                                
DE73728        |~BADKEY~                                                
DE14059        |~BADKEY~                                                
DE40627        |~BADKEY~                                                
DE45127        |~BADKEY~                                                
DE51588        |~BADKEY~                                                
DE53227        |~BADKEY~                                                
DE66482        |~BADKEY~                                                
DE76137        |~BADKEY~                                                
DE01156        |~BADKEY~                                                
DE03238        |~BADKEY~                                                
DE14165        |~BADKEY~                                                
DE21149        |~BADKEY~                                                
DE22761        |~BADKEY~                                                
DE24118        |~BADKEY~                                                
DE46509        |~BADKEY~                                                
DE48147SD45    |~BADKEY~                                                
DE60598        |~BADKEY~                                                
DE65929        |~BADKEY~                                                
DE68163        |~BADKEY~                                                
DE90482        |~BADKEY~                                                
DE12489        |~BADKEY~                                                
DE20146        |~BADKEY~                                                
DE22607        |~BADKEY~                                                
DE28203        |~BADKEY~                                                
DE30655        |~BADKEY~                                                
DE31319CH71    |~BADKEY~                                                
DE33378        |~BADKEY~                                                
DE42853        |~BADKEY~                                                
DE56220        |~BADKEY~                                                
DE67659        |~BADKEY~                                                
DE70439        |~BADKEY~                                                
DE73614        |~BADKEY~                                                
DE81541        |~BADKEY~                                                
DE82211        |~BADKEY~                                                
DE22159        |~BADKEY~                                                
DE30167        |~BADKEY~                                                
DE33790        |~BADKEY~                                                
DE40472        |~BADKEY~                                                
DE49479        |~BADKEY~                                                
DE57223        |~BADKEY~                                                
DE58119        |~BADKEY~                                                
DE10179AG12    |~BADKEY~                                                
DE24105        |~BADKEY~                                                
DE24106        |~BADKEY~                                                
DE33397        |~BADKEY~                                                
DE45663        |~BADKEY~                                                
DE48149        |~BADKEY~                                                
DE48431        |~BADKEY~                                                
DE49424        |~BADKEY~                                                
DE75015        |~BADKEY~                                                
DE10787        |~BADKEY~                                                
DE12435        |~BADKEY~                                                
DE14057        |~BADKEY~                                                
DE42781        |~BADKEY~                                                
DE45149        |~BADKEY~                                                
DE48147        |~BADKEY~                                                
DE67346        |~BADKEY~                                                
DE68623        |~BADKEY~                                                
DE99867        |~BADKEY~                                                
DE38100        |~BADKEY~                                                
DE40699        |~BADKEY~                                                
DE44147        |~BADKEY~                                                
DE51491        |~BADKEY~                                                
DE54293        |~BADKEY~                                                
DE63179        |~BADKEY~                                                
DE63225WS11    |~BADKEY~                                                
DE70771        |~BADKEY~                                                
DE75175        |~BADKEY~                                                
DE81245        |~BADKEY~                                                
DE01309        |~BADKEY~                                                
DE06917        |~BADKEY~                                                
