IT28021        |~BADKEY~                                                
IT71043        |~BADKEY~                                                
IT80131        |~BADKEY~                                                
IT81055        |~BADKEY~                                                
IT88060        |~BADKEY~                                                
IT00156        |~BADKEY~                                                
IT16010        |~BADKEY~                                                
IT20154        |~BADKEY~                                                
IT22070        |~BADKEY~                                                
IT84098        |~BADKEY~                                                
IT94100        |~BADKEY~                                                
IT21010        |~BADKEY~                                                
IT41121        |~BADKEY~                                                
IT43122        |~BADKEY~                                                
IT67100        |~BADKEY~                                                
IT80018        |~BADKEY~                                                
IT9010         |~BADKEY~                                                
IT00154        |~BADKEY~                                                
IT00166        |~BADKEY~                                                
IT12030        |~BADKEY~                                                
IT20081        |~BADKEY~                                                
IT20100        |~BADKEY~                                                
IT36010        |~BADKEY~                                                
IT47921        |~BADKEY~                                                
IT48015        |~BADKEY~                                                
IT09126        |~BADKEY~                                                
IT10134        |~BADKEY~                                                
IT12040        |~BADKEY~                                                
IT50122        |~BADKEY~                                                
IT80147        |~BADKEY~                                                
IT00019        |~BADKEY~                                                
IT00175        |~BADKEY~                                                
IT00198        |~BADKEY~                                                
IT28100        |~BADKEY~                                                
IT43121        |~BADKEY~                                                
IT36040        |~BADKEY~                                                
IT37050        |~BADKEY~                                                
IT56021        |~BADKEY~                                                
IT57016        |~BADKEY~                                                
IT70128        |~BADKEY~                                                
IT90131        |~BADKEY~                                                
IT22063        |~BADKEY~                                                
IT25125        |~BADKEY~                                                
IT61030        |~BADKEY~                                                
IT80054        |~BADKEY~                                                
IT81031        |~BADKEY~                                                
IT90125        |~BADKEY~                                                
IT91016        |~BADKEY~                                                
IT00049        |~BADKEY~                                                
IT00054        |~BADKEY~                                                
IT21020        |~BADKEY~                                                
IT36030        |~BADKEY~                                                
IT70010        |~BADKEY~                                                
IT00177        |~BADKEY~                                                
IT00185        |~BADKEY~                                                
IT133          |~BADKEY~                                                
IT42124        |~BADKEY~                                                
IT70132        |~BADKEY~                                                
               |~BADKEY~                                                
IT70043        |~BADKEY~                                                
IT74121VS      |~BADKEY~                                                
IT00199        |~BADKEY~                                                
IT20128        |~BADKEY~                                                
IT62010        |~BADKEY~                                                
IT65125        |~BADKEY~                                                
IT72023        |~BADKEY~                                                
IT88100        |~BADKEY~                                                
IT25018        |~BADKEY~                                                
IT25040        |~BADKEY~                                                
IT30174        |~BADKEY~                                                
IT87040        |~BADKEY~                                                
IT90046        |~BADKEY~                                                
IT94010        |~BADKEY~                                                
IT00137        |~BADKEY~                                                
IT20157        |~BADKEY~                                                
IT30034        |~BADKEY~                                                
IT00143        |~BADKEY~                                                
IT20026        |~BADKEY~                                                
IT31050        |~BADKEY~                                                
IT55012        |~BADKEY~                                                
IT70016        |~BADKEY~                                                
IT80011        |~BADKEY~                                                
IT80053        |~BADKEY~                                                
IT95014        |~BADKEY~                                                
IT38060        |~BADKEY~                                                
IT50123        |~BADKEY~                                                
IT71010        |~BADKEY~                                                
IT73013        |~BADKEY~                                                
IT92100        |~BADKEY~                                                
IT95123        |~BADKEY~                                                
IT20037        |~BADKEY~                                                
IT24121        |~BADKEY~                                                
IT34170        |~BADKEY~                                                
IT42020        |~BADKEY~                                                
IT96100        |~BADKEY~                                                
IT00047        |~BADKEY~                                                
IT10024        |~BADKEY~                                                
IT27100        |~BADKEY~                                                
IT30038        |~BADKEY~                                                
IT36695        |~BADKEY~                                                
IT40033        |~BADKEY~                                                
IT00030        |~BADKEY~                                                
IT07041        |~BADKEY~                                                
IT20098        |~BADKEY~                                                
IT21030        |~BADKEY~                                                
IT80055        |~BADKEY~                                                
IT88040        |~BADKEY~                                                
IT02100        |~BADKEY~                                                
IT07100        |~BADKEY~                                                
IT10015        |~BADKEY~                                                
IT20122        |~BADKEY~                                                
IT74121VL      |~BADKEY~                                                
IT74121VP      |~BADKEY~                                                
IT09032        |~BADKEY~                                                
IT16121        |~BADKEY~                                                
IT57128        |~BADKEY~                                                
IT74023        |~BADKEY~                                                
IT10137        |~BADKEY~                                                
IT20126        |~BADKEY~                                                
IT37060        |~BADKEY~                                                
IT40123        |~BADKEY~                                                
IT41013        |~BADKEY~                                                
IT57122        |~BADKEY~                                                
IT62100        |~BADKEY~                                                
IT73010        |~BADKEY~                                                
IT90011        |~BADKEY~                                                
IT97013        |~BADKEY~                                                
IT00122        |~BADKEY~                                                
IT10122        |~BADKEY~                                                
IT30030        |~BADKEY~                                                
IT36061        |~BADKEY~                                                
IT50018        |~BADKEY~                                                
IT76011        |~BADKEY~                                                
IT80046        |~BADKEY~                                                
IT83020        |~BADKEY~                                                
IT84014        |~BADKEY~                                                
IT97015        |~BADKEY~                                                
IT00179        |~BADKEY~                                                
IT20077        |~BADKEY~                                                
IT20139        |~BADKEY~                                                
IT30015        |~BADKEY~                                                
IT41043        |~BADKEY~                                                
IT00126        |~BADKEY~                                                
IT10034        |~BADKEY~                                                
IT20822        |~BADKEY~                                                
IT36050        |~BADKEY~                                                
IT61032        |~BADKEY~                                                
IT90010        |~BADKEY~                                                
IT95041        |~BADKEY~                                                
